'abbrev	abbreviation
aamof	as a matter of fact
aamoi	as a matter of interest
aar	at any rate
aar8	at any rate
aas	alive and smiling
aatf	always and totally forever
aatk	always at the keyboard
aayf	as always, your friend
ab	ass backwards
abt	about
abd	already been done
abend	absent by enforced net deprivation
aberd	Aberdeen
aberdeensh	Aberdeenshire
abft	About Fucking Time
abithiwtitb	a bird in the hand is worth two in the bush
abk	always be knolling
abl	ablative
abol	abolition
aboot	about
aborig	aboriginal
abp	archbishop
abr	abridged
abridg	abridged
abridgem	abridgement
absnt	absent
absol	absolute
abst	abstract
abstr	abstract
abt	about
abt2	about to
abwt	about
acad	academia, academy, academic
acc	according (to)
accomm	accommodation
accompl	accomplished
acct	account
accts	accounts
accus	accusative
acd	alt control delete
acgaf	absolutely couldn't give a Fuck
achievem	achievement
ack	acknowledged
ad	adaptation of
adad	another day another dollar
adbb	all done bye bye
addit	addition(s)
addr	address
addy	address
adhd	attention deficit hyperactivity disorder
adih	another day in hell
adip	another day in paradise
adj	adjective
adj phr	adjectival phrase
adjs	adjectives
adl	all day long
adm	admiral
admin	administration, administrative
admir	admiralty
admon	admonition
admonit	admonition
adn	any day now
adr	address
adv	advanced
advancem	advancement(s)
advb	adverb, adverbial(ly)
advd	advised
advert	advertisement
advoc	advocate
advs	adverbs
advt	advertisement
advts	advertisements
aeap	as early as possible
aerodynam	aerodynamics
aeronaut	aeronautics, aeronautical
af	assface
afagay	a friend as good as you
afahmasp	a fool and his money are soon parted
afaiaa	as far as I am aware
afaic	as far as I am concerned
afaicr	as far as I can remember
afaics	as far as I can see
afaict	as far as I can tell
afaik	as far as I know
afair	as far as I recall
afaiu	as far as I understand
afaiui	as far as I understand it
afap	as far as possible
afayc	as far as you're concerned
afc	away from computer
afcpmgo	away from computer parents may go on
afdn	any fucking day now
aff	affairs
afg	away from game
afgo	another fucking growth opportunity
afiaa	as far as i am aware
afiniafi	a friend in need is a friend indeed
afj	april fools joke
afk	away from keyboard
afkb	away from keyboard
afpoe	a fresh pair of eyes
afr	Africa(n)
aft	about fucking time
afu	all fucked up
afw	away from window
afz	acronym free zone
agb	almost good bridge
agkwe	and god knows what else
agn	again
agric	agriculture, agricultural
agst	against
ahole	ass hole
ai	artificial intelligence
aiadw	all in a days work
aiamu	and I am a monkey's uncle
aicmfp	and I claim my five pounds
aight	alright
aightz	alright
aih	as it happens
aiic	as if I care
aiid	and if I did
aiight	all right
aimb	as i mentioned before
aimp	always in my prayers
ain't	am not
aisb	as i said before
aise	as i said earlier
aisi	as i see it
aite	alright
aitr	adult in the room
aiui	as I understand it
aiws	as i was saying
aka	also known as
akp	Alexander King Project
akpcep	Alexander King Project Cultural Engineering Project
alap	as late as possible
alaytm	as long as you tell me
alch	alchemy
alcon	all concerned
alg	algebra
alleg	allegiance
allit	alliterative
alm	almanac
alol	actually laughing out loud
alot	a lot
alotbsol	always look on the bright side of life
alph	alphabet, alphabetical
alright	all right
alrite	alright
alrt	alright
alryt	alright
alt	alteration
altg	act locally, think globally
alw	ain't life wonderful
ama	ask me anything
amap	as many as possible
ambw	all my best wishes
amer	America, American
amf	adios motherfucker
amiic	ask me if i care
amiigaf	ask me if i give a fuck
aml	all my love
amrmtyfts	all my roommates thank you for the show
amsp	ask me something personal
analyt	analytic(al)
anat	anatomy, anatomical
anc	ancient
anecd	anecdotes
anfawfos	and now for a word from our sponsor
anfscd	and now for something completely different
ang	Anglian
angb	almost nearly good bridge
angl	Anglian
anglo-ind	Anglo-Indian
anim	animal(s)
anim8	animate
anl	all night long
anlsx	Anal Sex
ann	annual
anniv	anniversary
annot	annotation
anon	anonymous
answ	answer
anthrop	anthropology
anthropol	anthropology, anthropological
antiq	antiquity, antiquities
anuda	another
anw	anyways
anwwi	alright now where was i
any1	anyone
anywaz	anyways
aoas	all of a sudden
aob	any other business
aoc	age of consent
aoe	Age Of Empires
aon	all or nothing
aor	agency on record
aos	adult over shoulder
aota	all of the above
aoto	Amen on that one
aoyp	angel on your pillow
aoys	angel on your shoulder
aphet	aphetic, aphetized
api	application program interface
apoc	apocalyptic(al)
apod	Another Point Of Discussion
apol	apology, apologies
app	application
applic	application(s)
appos	appositive(ly)
appt	appointment
apr	April
aprece8	appreciate
apreci8	appreciate
apu	as per usual
aqap	as quick as possible
ar	are
arab	Arabic
arb	Arber
arch	archaic
archaeol	archaeology, archaeological
archipel	archipelago
archit	architecture, architectural
argt	argument
arith	arithmetic
arithm	arithmetic, arithmetical
arnd	around
arrangem	arrangement
arse	ass
arsed	bothered
artific	artificial
artill	artillery
arvo	afternoon
asafp	as soon as fucking possible
asaik	as soon as I know
asamof	as a matter of fact
asap	as soon as possible
asarbambtaa	all submissions are reviewed by a moderator before they are added.
asaygt	as soon as you get this
asbmaetp	acronyms should be memorable and easy to pronounce
ase	age, sex, ethnicity
ashl	asshole
ashm	Ashmole
ashole	asshole
asic	application specific integrated circuit
asl	age, sex, location
aslmh	age, sex, location, music, hobbies
aslo	age, sex, location, orientation
aslop	Age, sex, location, orientation, Picture
aslp	age, sex, location, picture
aslr	age, sex location, race
aslrp	age, sex, location, race, picture
asr	age, sex, race
assemb	assembly, assemblies
asshle	asshole
assoc	association
assoc football	Association Football
assyriol	Assyriology
astr	astronomy
astrol	astrology
astron	astronomy, astronomic(al)
atab	ain't that a bitch
atb	all the best
atc	any two cards
atfp	answer the fucking phone
atl	Atlanta
ato	against the odds
atop	at time of posting
atp	answer the phone
atq	answer the question
atsl	along the same line
atst	At the same time
attn	attention
attotp	At The Time Of This Post
attrib	attribute
atw	All the way
atwd	agree that we disagree
aty	according to you
audy	Are you done yet?
aufm	are you fucking mental
aufsm	are you fucking shiting me
aug	August
auntm	and u know this man
aup	acceptable use policy
auth	author
autobiog	autobiography
autobiogr	autobiography, autobiographic(al)
av	Authorized Version
av7x	avenged sevenfold
avie	Avatar
avsb	a very special boy
avtr	avatar
avvie	avatar
avy	Avatar
awc	after while, crocodile
awes	awesome
awgthtgtta	are we going to have to go through this again
awhfy	are we having fun yet?
awk	awkward
awltp	avoiding work like the plague
awniac	all we need is another chair
awol	absent without leave
awsic	and why should i care
awsm	awesome
awsome	awesome
awttw	a word to the wise
ayagob	are you a girl or boy
ayb	all your base
aybab2m	all your base are belong to me
aybab2u	all your base are belong to us
aybabtg	all your base are belong to Google
aybabtu	all your base are belong to us
ayc	awaiting your comments
ayce	all you can eat
ayd	are you done
aydy	are you done yet
ayec	at your earliest convenience
ayfk	are you fucking kidding
ayfkm	are you fucking kidding me
ayfkmwts	are you fucking kidding me with this shit
ayfr	are you for real
ayfs	Are You Fucking Serious
ayk	are you kidding
aykm	are you kidding me
ayl	are you listening
aymf	are you my friend
aymm	are you my mother
ayok	are you okay
ayor	at your own risk
aypi	and your point is
ayrsh	Ayrshire
ays	are you serious
aysm	are you shitting me?
aysos	are you stupid or something
ayst	are you still there
ayt	are you there
ayte	alright
aytf	are you there fucker
aytmtb	and you are telling me this because
ayty	are you there yet
ayv	are you vertical?
ayw	as you wish
azhol	ass hole
azn	asian
azz	ass
b-cuz	because
b-day	birthday
b.f.f.	best friend forever
b.s.	bullshit
b'day	birthday
b@	banned
b@u	back at you
b/c	because
b/cos	because
b/g	background
b/s/l	bisexual, straight, lesbian
b/t	between
b/w	between
b&	banned
b&f	back and forth
b00n	new person
b00t	boot
b0rked	broken
b1tch	Bitch
b2b	business to business
b2u	back to you
b2w	back to work
b3	be
b4	before
b4n	bye for now
b4u	before you
b4yki	before you know it
b8	bait
b82rez	batteries
b8rez	batteries
babi	baby
bac	bad ass chick
bacteriol	bacteriology
bae	baby
baf	bring a friend
baggkyko	be a good girl, keep your knickers on
bai	bye
bak	back
bak@u	back at you
bakk	back
balz	balls
bamf	bad ass mother fucker
bamofo	bitch ass mother fucker
bau	back at you
bb	bye bye
bb4h	bros before hoes
bb4n	Bye-bye for now
bbamfic	big bad ass mother fucker in charge
bbb	bye bye babe
bbbg	bye bye be good
bbbj	bare back blow job
bbe	baby
bbf	best boy friend
bbfbbm	body by fisher, brains by mattel
bbfn	bye bye for now
bbfs	best boyfriends
bbfu	be back for you
bbi	baby
bbiab	be back in a bit
bbiaf	be back in a few
bbialb	be back in a little bit
bbiam	be back in a minute
bbias	be back in a second
bbiaw	be back in a while
bbifs	be back in a few seconds
bbilb	be back in a little bit
bbilfm	be back in like five minutes
bbim	be Back in minute
bbk	be back, ok?
bbl	be back later
bbl8a	be back later
bblig	be back later I guess
bbm	BlackBerry Messenger
bbmfic	big bad mother fucker in charge
bbml	be back much later
bbn	be back never
bbol	be back online later
bbp	Banned by parents
bbq	be back quick
bbr	burnt beyond repair
bbrs	be back really soon
bbs	be back soon
bbsd	be back soon darling
bbsl	be back sooner or later
bbsts	be back some time soon
bbt	be back tomorrow
bbtn	be back tonight
bbvl	be back very later
bbw	be back whenever
bbwb	best buddy with boobs
bbwe	be back whenever
bbwl	be back way later
bby	baby
bbz	babes
bc	because
bcbg	bon chic bon genre
bcbs	big company, big school
bch	bitch
bck	back
bcnu	be seeing you
bcnul8r	be seeing you later
bcoz	because
bcurl8	because you are late.
bcuz	because
bd	birthday
bday	birthday
bdbi5m	busy daydreaming back in 5 minutes
bdc	big dumb company
bdfl	benevolent dictator for life
bdn	big damn number
bdoa	brain dead on arrival
bdsm	bondage, dominance, sadism, masochism
be4	before
beatch	bitch
bebe	baby
becuse	because
becuz	because
bedford	Bedfordshire
bedfordsh	Bedfordshire
beech	bitch
beeoch	bitch
beezy	bitch
bef	before
beg	big evil grin
bel&dr	(in the Apocrypha) Bel and the Dragon
belg	Belgian
beos	nudge
beotch	bitch
berks	Berkshire
berksh	Berkshire
berw	Berwickshire
berwicksh	Berwickshire
besos	kisses
bestie	best friend
betch	bitch
betcha	bet you
bettr	better
betw	between
bewb	boob
bewbs	boobs
bewbz	boobs
bewt	boot
beyatch	bitch
beyotch	bitch
bezzie	best friend
bf	boyfriend
bf's	boyfriends
bf+gf	boyfriend and girlfriend
bf4e	best friends for ever
bf4eva	best friends forever
bf4l	best friends for life
bfam	brother from another mother
bfd	big fucking deal
bfe	bum fuck egypt
bff	best friend forever
bffa	best friends for always
bffaa	best friends forever and always
bffae	best friends forever and ever
bffaw	best friends for a while
bffe	best friends forever
bffeae	best friends for ever and ever
bffene	Best Friends for ever and ever
bffl	best friends for life
bffn	best friends for now
bfftddup	best friends forever till death do us part
bfftte	best friends forever til the end
bfg	big fucking gun
bfh	bitch from hell
bfhd	big fat hairy deal
bfitww	best friend in the whole world
bfn	bye for now
bfr	big fucking rock
bfs	boyfriends
bft	big fucking tits
bg	background
bgf	best girlfriend
bh	bloody hell
bhag	big hairy audacious goal
bhg	big hearted guy
bhimbgo	bloody hell, I must be getting old
bhof	bald headed old fart
bhwu	back home with you
bi	bye
bi5	back in five
biab	back in a bit
biach	bitch
biaf	back in a few
biatch	bitch
bibi	bye bye
bibifn	bye bye for now
bibliogr	bibliography
bibo	beer in, beer out
bicbw	but I could be wrong
bich	bitch
bif	basis in fact
bigd	big deal
bii	bye
bil	brother-in-law
bilf	brother I would like to fuck
bilu	baby i love you
biochem	biochemistry, biochemical
biog	biography
biogr	biography, biographic(al)
bioiya	break it off in your ass
biol	biology, biological
bion	believe it or not
biotch	bitch
bioya	blow it out your ass
bioye	blow it out your ear
bioyiop	blow it out your i/o port
bioyn	blow it out your nose
bish	bitch
bitd	back in the day
bitfob	bring it the fuck on, bitch
biw	boss is watching
biwm	bisexual white male
biz	business
bizatch	bitch
bizi	busy
biznatch	bitch
biznitch	bitch
bizzle	bitch
bj	blowjob
bk	back
bka	better known as
bks	books
bl	bad luck
blbblb	back like bull, brain like bird
bleme	blog meme
bleve	believe
blg	blog
blh	bored like hell
bling-bling	jewelry
blj	blowjob
bljb	blowjob
blk	black
blkbry	blackberry
blkm	black male
blnt	Better Luck Next time
blog	web log
blogger	web logger
blu	blue
bm	bite Me
bm&y	between you and me
bm4l	best mates for life
bma	best mates always
bmay	between me and you
bmf	be my friend
bmfe	best mates forever
bmfl	best mates for life
bmgwl	busting my gut with laughter
bmha	bite my hairy ass
bml	bless my life
bmoc	big man on campus
bmof	bite me old fart
bmota	byte me on the ass
bms	baby making sex
bmttveot	best mates till the very end of time
bmvp	be my valentine please
bmw	bitch, moan, whine
bn	been
bnc	British National Corpus
bndm3ovr	bend me over
bndn	been nowhere done nothing
bnf	big name fan
bnib	brand new in box
bnol	be nice or leave
bnr	banner
bo	body odour
boaisy	bend over and I will show you
boati	bend over and take it
bobfoc	body of baywatch, face of crimewatch
bobw	best of both worlds
boctaae	but of course there are always exceptions
bod	benefit of the doubt
boffum	Both of them
bofh	bastard operator from hell
bogo	buy one get one
bogof	buy one get one free
bogsatt	bunch of guys sitting around the table
bohic	Bend over here it comes
bohica	bend over, here it comes again
boi	boy
bol	Barking Out Loud
bon	believe it or not
bonr	boner
boomm	bored out of my mind
bord	border
bos	boss over shoulder
bot	botany, botanic(al)
botec	back of the envelope calculation
botl	bra on the loose
botoh	but on the other hand
bout	about
bovered	bothered
bowt	about
boxor	box
bp	bishop
bplm	big person little mind
bpot	big pair of tits
br	bathroom
braz	Brazilian
brb	be right back
brbbrb	be right back bath room break
brbf	be right back fucker
brbg2p	be right back, I got to pee
brbigtp	be right back, I got to pee
brbl	be right back later
brbmf	be right back mother fucker
brbn2gbr	be right back, I need to go to the bathroom
brbs	be right back soon
brbts	be right back taking shit
brd	bored
brfb	be right fucking back
brgds	best regards
brh	be right here
bric	Brazil, Russia, India, China
brit	Britain, British
brl	belly roll laughs
bro	brother
bros	brothers
broseph	brother
brover	Brother
brt	be right there
bruf	big requirements up front
bruh	brother
bruhh	brother
bruv	brother
bruva	brother
bruz	brothers
bs	bullshit
bsaaw	big smile and a wink
bsbd&ne	book smart, brain dead and no experience
bseg	big shit eating grin
bsf	but seriously, folks
bsmfh	bastard system manager from hell
bsod	blue screen of death
bsomn	blowing stuff out my nose
bstfu	bitch shut the fuck up
bstrd	bastard
bsx	bisexual
bsxc	be sexy
bt	bit torrent
bta	but then again
btb	by the by
btch	bitch
btcn	better than Chuck Norris
btd	bored to death
btdt	been there done that
btdtgts	been there, done that, got the t-shirt
btdtgtts	been there, done that, got the t-shirt
btfl	beautiful
btfo	back the fuck off
btfw	by the fucking way
bthoom	beats the heck out of me
btias	be there in a second
btm	bottom
btn	better than nothing
btoiya	be there or it is your ass
btr	better
bts	be there soon
btsoom	beats the shit out of me
bttt	been there, tried that
bttyl	be talking to you later
btw	by the way
btwbo	be there with bells on
btwilu	by the way i love you
btwitiailwu	by the way i think i am in love with you
btwn	between
bty	back to you
btyc	better than you can
btyd	better than you do
bubar	bushed up beyond all recognition
bubi	bye
budzecks	butt sex
buff	big ugly fat fuck
buhbi	bye bye
buhbye	bye
build	building
bukket	bucket
bump	bring up my post
bur	bureau
burma	be undressed ready my angel
buszay	busy
but6	butt sex
butsecks	butt sex
butterface	every thing is hot but her face
buwu	breaking up with you
bw	best wishes
bw3	Buffalo Wild Wings
bwdik	but what do i know
bwi	but what if
bwim	by which i mean
bwl	bursting with laughter
bwo	black, white or other
bwoc	big woman on campus
bwpwap	back when Pluto was a planet
bwt	but when though
bwtm	but wait, there is more
byak	blowing you a kiss
byam	between you and me
byeas	good-bye
byes	bye bye
byki	before you know it
bykt	but you knew that
byoa	bring your own advil
byob	bring your own beer
byoc	bring our own computer
byod	bring your own device
byow	build your own website
byself	by myself
bytabm	beat you to a bloody mess
bytch	bitch
bytme	better you than me
bz	busy
bzns	business
bzy	busy
bzzy	busy
c	see
c 2 c	cam to cam (webcams)
c ya	see ya
c-p	sleepy
c-t	city
c.y.a	cover your ass
c'mon	Come On
c@	cat
c/b	comment back
c/p	cross post
c/s	change of subject
c/t	can't talk
c&c	Command and Conquer
c&g	chuckle and grin
c|n>k	coffee through nose into keyboard
c14n	canonicalization
c2	come to
c2c	care to chat?
c2tc	cut to the chase
c4ashg	care for a shag
c4n	ciao for now
caac	cool as a cucumber
cal	calendar
calc	calculus
calend	calendar
calif	California
calligr	calligraphy
cam	camera
camb	Cambridge
cambr	Cambridge
campanol	campanology
canad	Canadian
cancer stick	cigarette
canterb	Canterbury
capt	captain
cartogr	cartography, cartographic(al)
cas	crack a smile
catal	catalogue
catech	catechism
cath	Catholic
catwot	complete and total waste of time
cawk	Cock
cayc	call at your convenience
cb	come back
cba	can't be arsed
cbb	can't be bothered
cbf	cant be fucked
cbfa	can't be fucking arsed
cbfed	can't be fucked
cbi	can't believe it
cbj	covered blow job
cbm	covered by medicare
ccl	Couldn't Care Less
ccna	Cisco Certified Network Associate
cd9	Code 9 (other people nearby)
celly	cell phone
ceram	ceramics
cert	certificate
certif	certificate
cex	sex
cexy	sexy
cf	coffee freak
cfas	care for a secret?
cfid	check for identification
cfm	come fuck me
cfv	call for vote
cg	Congratulations
cgad	couldn't give a damn
cgaf	couldn't give a fuck
cgf	cute guy friend
ch	Church
ch hist	Church history
ch@	chat
cha	click here asshole
chamb	chamber
char	character
charac	character
chas	Charles
cheezburger	cheeseburger
chem	chemistry, chemical
chem engin	chemical engineering
chesh	Cheshire
chik	chick
chilax	chill and relax in one word
chillin	relaxing
chk	check
chr	character
chron	chronology, chronicle
chronol	chronology
chrons	chronicles
chswm	come have sex with me
chswmrn	come have sex with me right now
chu	you
chut	pussy
ciao	goodbye (in italian)
cico	coffee in, coffee out
cicyhw	can i copy your home work
cid	consider it done
cig	cigarette
cigs	cigarettes
cihswu	can i have sex with you
cihyn	can i have your number
cil	check in later
cilf	child i'd like to fuck
cinba	clad in naught but air
cinematogr	cinematography, cinematographic(al)
cing	seeing
cio	check it out
circ	circle
cis	computer information science
civ law	civil law
civil engin	civil engineering
ciwwaf	cute is what we aim for
cl	clause
class	classical
class antiq	classical antiquities
classif	classification
cless	clanless
climatol	climatology
clin	clinical
clm	Cool Like Me
clt	Cool Like That
cluebie	clueless newbie
cm	call me
cma	Cover My Ass
cmao	Crying My Ass Off
cmap	cover my ass partner
cmar	cry me a river
cmb	comment me back
cmbo	combo
cmcp	call my cell phone
cmeo	crying my eyes out
cmf	count my fingers
cmh	Call My House
cmiiw	correct me if I'm wrong
cmitm	Call me in the morning
cmiw	correct me if i'm wrong
cml	call me later
cml8r	call me later
cmliuw2	call me later if you want to
cmomc	call me on my cell
cmon	Come on
cmplcdd	complicated
cmplte	complete
cmptr	computer
cms	content management system
cmt	comment
cmu	crack me up
cmw	cutting my wrists
cn	can
cnc	Command and Conquer
cnp	continued in next post
cnt	can't
cod	Call of Duty
cod4	call of duty 4
cod5	call of duty 5
code 29	moderator is watching
code 8	parents are watching
code 9	Parents are watching
code9	other people near by
cof	Crying on the floor
cof$	church of scientology
cofs	church of scientology
cogn w	cognate with
coiwta	come on i wont tell anyone
col	crying out loud
coll	college
collect	collection
colloq	colloquial(ly)
coloss	(in the Bible) Colossians
com	common
comb	combination(s)
comb form	combining form
comin'	coming
comm	communication
comm law	commercial law
commandm	commandment
commend	commendation
commerc	commercial
commiss	commission
commonw	commonwealth
communic	communication(s)
comnt	comment
comp	compound, composition
comp anat	comparative anatomy
compan	companion(s)
compar	comparative
compend	compendium, compendious
compl	complete
compos	composition
compy	computer
conc	concerning
conch	conchology
concl	conclusion
concr	concrete(ly)
conf	conference
confid	confidential
confl	conflict
confut	confutation
congr	congress
congrats	congratulations
congreg	congregation
conj	conjunction
conn	Connecticut
cons	consonant
consc	conscience
consecr	consecrated, consecration
consid	consideration(s)
consol	consolation
const	construction, construed with
constit	constitution(al)
constit hist	constitutional history
constr	construction
contemp	contemporary
contempl	contemplation
contempt	contemptuous(ly)
contend	contending(s)
content	contention
contin	continuation
contr	contracted, contraction
contradict	contradiction
contrib	contribution
contribs	contributions
controv	controversial
conv	convention
conversat	conversation
convo	conversation
convoc	convocation
coo	cool
cood	could
copyvio	copyright violation
cor	(in the Bible) Corinthians
cornw	Cornwall
coron	coronation
corr	correspondence
corresp	corresponding (to)
cos	because
cot	circle of trust
cotf	crying on the floor
cotm	check out this myspace
counc	council
courtsh	courtship
cowboy choker	cigarette
coz	because
cp	child porn
cpd	compound
cpg	consumer packaged goods
cpl	Cyber Athlete Professional League
cpm	cost per 1000 impressions
cptn	captain
cpy	copy
cqrt	security
cr	Can't remember
cr8	crate
crakalakin	happening
craniol	craniology
craniom	craniometry
crap	cheap redundant assorted products
crat	can't remember a thing
crazn	crazy asian
crb	come right back
crbt	crying real big tears
crd	caucasian rhythm disorder
crdtchck	credit check
cre8or	creator
crim	criminal
crim law	criminal law
crit	critical
crm	customer relationship management
crp	crap
crs	can't remember shit
crt	court
crtla	can't remember the three-letter acronym
crts	courts
crunk	combination of crazy and drunk
cryptogr	cryptography
crystallogr	crystallography
crzy	crazy
cs	Counter-Strike
cs:s	Counter-Strike: Source
cs&f	cute sexy & funny
csa	cool sweet awesome
csabr	continued success and best regards
csi	Crime Scene Investigation
cskr	cock sucker
csl	can't stop laughing
csn	chuckle, snicker, grin
ct	court
cta	call to action
ctc	call the cell
ctf	capture the flag
ctfd	calm the fuck down
ctfo	chill the fuck out
ctfu	cracking the fuck up
ctm	chuckle to myself
ctmq	chuckle to myself quietly
ctn	can't talk now
ctnbos	can't talk now boss over shoulder
ctncl	Can't talk now call later
cto	check this out
ctpc	cant talk parent(s) coming
ctpos	can't Talk Parent Over Sholder
ctrl	control
ctrn	can't talk right now
cts	change the subject
ctt	change the topic
cu	goodbye
cu2nit	see you tonight
cu46	see you for sex
cuatsc	see you at the senior center
cuatu	see you around the universe
cubi	can you believe it
cud	could
cuic	see you in class
cul	see you later
cul83r	See you later
cul8er	see you later
cul8r	See You Later
cul8tr	see you later
cula	see you later alligator
culd	Could
cumb	Cumberland
cumberld	Cumberland
cumbld	Cumberland
cuns	see you in school
cunt	vagina
cuol	see you online
cuom	see you on monday
cuple	couple
curn	calling you right now
cut3	cute
cuwta	catch up with the acronyms
cuwul	catch up with you later
cuz	because
cuzz	Because
cvq	chucking very quietly
cw2cu	can`t wait to see you
cwm	come with me
cwmaos	coffee with milk and one sugar
cwot	complete waste of time
cwtgypo	can't wait to get your panties off
cwyl	chat with ya later
cx	cancelled
cy	calm yourself
cya	goodbye
cyal	see you later
cyal8r	see you later
cyas	see you soon
cyb	cyber
cybl	call you back later
cybr	cyber
cybseckz	cyber sex
cycl	cyclopaedia
cye	Close Your Eyes
cyff	change your font, fucker
cyl	see you later
cyl,a	see ya later, alligator
cyl8	see you later
cyl8er	see you later
cylbd	catch ya later baby doll
cylor	check your local orhtodox rabbi
cym	check your mail
cyo	see you online
cyoh	create your own happening
cyt	see you tomorrow
cytol	cytology, cytological
cyu	see you
d	the
d.t.f	down to fuck
d.w	don't worry
d/c	disconnected
d/l	download
d/m	Doesn't Matter
d/w	don't worry
d&c	divide and conquer
d&df	drug & disease free
d&m	deep & meaningful
d00d	dude
d1ck	dick
d2	Diablo 2
d2m	dead to me
d2t	drink to that
d8	date
da	the
da2	Dragon Age 2
dadt	Don't ask. Don't tell.
dafs	do a fucking search
dah	dumb as hell
daii	day
damhik	don't ask me how I know
damhikijk	Don't Ask Me How I Know - I Just Know
damhikt	don't ask me how I know this
dan	(in the Bible) Daniel
darfc	ducking and running for cover
dass	dumb ass
dat	dative
dats	that's
dau	daughter
dawg	Friend
dayum	damn
dayumm	damn
db	database
db4l	drinking buddy for life
dba	doing business as
dbab	don't be a bitch
dbabai	don't be a bitch about it
dbafwtt	Don't Be A Fool Wrap The Tool
dbag	douchebag
dbd	don't be dumb
dbeyr	don't believe everything you read
dbg	don't be gay
dbh	don't be hating
dbi	Don't Beg It
dbm	don't bother me
dbmib	don't bother me i'm busy
dbz	DragonBall Z
dc	don't care
dc'd	disconnected
dctnry	dictionary
dcw	Doing Class Work
dd	don't die
ddas	don't do anything stupid
ddf	Drug and Disease Free
ddg	Drop Dead Gorgeous
ddl	direct download
ddos	Distributed Denial of Service
ddr	dance dance revolution
ddsos	different day, same old shit
deb	debate
dec	December
declar	declaration
ded	dedicated
deets	details
deez	these
def	definition
defs	definetly
degmt	Don't Even Give Me That
degt	don't even go there
deliv	deliverance
dem	them
demonstr	demonstration
dep	department
depred	depredation
depredat	depredation
